epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6147123969352147,0.5859714914716202,0.5091499694464992,0.5681431005110733,0.5681431005110733
1,0.7799968574783744,0.7762518821346626,0.7227277247414479,0.7734241908006815,0.7734241908006815
2,0.904825259258034,0.9024256328106046,0.8790842709398795,0.9011925042589438,0.9011925042589438
3,0.9483866801180527,0.9475789406209163,0.9346653741203503,0.9471890971039182,0.9471890971039182
4,0.9710391822827938,0.9710391822827938,0.9636259586504534,0.9710391822827938,0.9710391822827938
5,0.9838021175010631,0.9838081749173343,0.9796536579359034,0.9838160136286201,0.9838160136286201
6,0.9914974185454852,0.9914570033356691,0.9892390327962015,0.9914821124361158,0.9914821124361158
7,0.9957659041981158,0.9957306238530708,0.9946247931644219,0.995741056218058,0.995741056218058
8,0.9948984547441475,0.9948792808868179,0.9935560597189697,0.9948892674616695,0.9948892674616695
9,0.9957450005954043,0.9957348323723102,0.9946352862901863,0.995741056218058,0.995741056218058
