epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5931848946405112,0.6001659108519262,0.48842989924710034,0.6081771720613288,0.6081771720613288
1,0.7275439241553574,0.6494118200044949,0.6082905655775238,0.6294718909710392,0.6294718909710392
2,0.8632010494360928,0.854618646875597,0.8226302862347461,0.8509369676320273,0.8509369676320273
3,0.9238331996934092,0.9235573884281754,0.9042674639847785,0.9233390119250426,0.9233390119250426
4,0.9459688453519157,0.9450667379214184,0.9315671052194991,0.944633730834753,0.944633730834753
5,0.9605813662272774,0.9601720348821405,0.9502414522303333,0.9599659284497445,0.9599659284497445
6,0.9748583005050669,0.9745662776680959,0.9682094386014319,0.9744463373083475,0.9744463373083475
7,0.9797364228762082,0.9796153035808469,0.9744713237292744,0.979557069846678,0.979557069846678
8,0.9829642248722317,0.9829642248722317,0.978603505088502,0.9829642248722317,0.9829642248722317
9,0.9856326887498521,0.9855540635839503,0.981899984673301,0.985519591141397,0.985519591141397
