epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6025783375530034,0.6198237113443807,0.49339184494423105,0.6482112436115843,0.6482112436115843
1,0.7256551827243696,0.6320539432794633,0.5946439550654361,0.6115843270868825,0.6115843270868825
2,0.8468432692109942,0.8373376207991862,0.8018258233429792,0.8330494037478705,0.8330494037478705
3,0.88521040793164,0.8823349631313706,0.8543264236764763,0.8807495741056218,0.8807495741056218
4,0.9244243913588385,0.9218687646794539,0.9033167297602445,0.9207836456558773,0.9207836456558773
5,0.9493252538507433,0.9484472463570234,0.9357783602829146,0.9480408858603067,0.9480408858603067
6,0.9567844717614701,0.9560339501981879,0.9452032170041649,0.9557069846678024,0.9557069846678024
7,0.974074017907209,0.9737304910924756,0.9671805323221347,0.9735945485519591,0.9735945485519591
8,0.9753236698421128,0.9753100223456372,0.9690049934679794,0.975298126064736,0.975298126064736
9,0.9789317455867949,0.9787758492528902,0.9734328312274213,0.9787052810902896,0.9787052810902896
