epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6388629110071995,0.5231935629241536,0.4883703664657926,0.5,0.5
1,0.7868371000304077,0.74993070961186,0.7076627051499718,0.737649063032368,0.737649063032368
2,0.8910530740553056,0.8869448365408917,0.8606307625341301,0.8850085178875639,0.8850085178875639
3,0.9368725538221387,0.9351494519656307,0.9195211043658096,0.934412265758092,0.934412265758092
4,0.9655101701897947,0.9652246103541745,0.9565120365727502,0.965076660988075,0.965076660988075
5,0.9806242561727607,0.9804737813126589,0.9755582047292276,0.9804088586030665,0.9804088586030665
6,0.9830574986496993,0.9829967623367097,0.9786855482933915,0.9829642248722317,0.9829642248722317
7,0.9889392004240508,0.988932078982527,0.9861056867270253,0.9889267461669506,0.9889267461669506
8,0.9914821124361158,0.9914821124361158,0.989301752544251,0.9914821124361158,0.9914821124361158
9,0.9957694970255694,0.9957471744393782,0.9946662886728146,0.995741056218058,0.995741056218058
