epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.4930679886657632,0.4712956031081914,0.4712010600473007,0.49445865302642794,0.49445865302642794
1,0.6361733898624973,0.6358300280530815,0.6358236758126822,0.6359761295822677,0.6359761295822677
2,0.8203899675833678,0.8161705765973596,0.8161620255526729,0.8167092924126172,0.8167092924126172
3,0.9083105914980912,0.9079054974822138,0.9079042257452922,0.907928388746803,0.907928388746803
4,0.9462927794677884,0.9462914820334538,0.9462914039646056,0.9462915601023018,0.9462915601023018
5,0.9761295822676896,0.9761295822676896,0.9761295649190946,0.9761295822676896,0.9761295822676896
6,0.9830393779295981,0.9829488093544384,0.9829486978212709,0.9829497016197783,0.9829497016197783
7,0.989775486626171,0.9897697763609344,0.9897697540554683,0.989769820971867,0.989769820971867
8,0.9932027821249688,0.993179781511353,0.9931797567272135,0.9931798806479113,0.9931798806479113
9,0.996595705114818,0.9965899254536448,0.9965899180184894,0.9965899403239556,0.9965899403239556
