epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5100294517231491,0.5061057102579595,0.5060690943043884,0.5098039215686274,0.5098039215686274
1,0.5644341903748802,0.5642185503402314,0.5642115824333216,0.5643648763853367,0.5643648763853367
2,0.6334293521823553,0.63340739459103,0.6334055295519959,0.6334185848252344,0.6334185848252344
3,0.6553990954252602,0.6543395436912763,0.6543294946115523,0.6547314578005116,0.6547314578005116
4,0.7043417010452369,0.7041115180652762,0.7041076471806951,0.7041773231031543,0.7041773231031543
5,0.7570343484784436,0.7570332480818415,0.7570332480818415,0.7570332480818415,0.7570332480818415
6,0.7932058518615317,0.7917620623075312,0.7917561597429584,0.7919863597612958,0.7919863597612958
7,0.8371703939844239,0.8371694137839628,0.8371691770990424,0.8371696504688833,0.8371696504688833
8,0.8338360288751809,0.8337487161588337,0.8337475078661665,0.8337595907928389,0.8337595907928389
9,0.8521531891542756,0.8516078317323731,0.8516053511705686,0.8516624040920716,0.8516624040920716
