epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.8062948750840506,0.8076591244900914,0.7635960582289272,0.8097567254472905,0.8097567254472905
1,0.9177157151230412,0.9169452621244437,0.8995736729900841,0.9164628652336207,0.9164628652336207
2,0.9623337478551744,0.9623083373784375,0.9541781429300732,0.9622860084953019,0.9622860084953019
3,0.9830483042761979,0.9830250101139052,0.979370266765415,0.9830093963187025,0.9830093963187025
4,0.9917995547530539,0.9917729179237775,0.9900055703282891,0.9917621315484618,0.9917621315484618
5,0.9962748757106913,0.9962694258838728,0.9954647308702121,0.9962672158578968,0.9962672158578968
6,0.9979452681931028,0.9979416172056098,0.9974974532423346,0.9979405328871155,0.9979405328871155
7,0.9983277067857139,0.9983270140724675,0.9979653406639654,0.9983266829707813,0.9983266829707813
8,0.9992280646431242,0.9992278017546743,0.9990608025477892,0.9992276998326683,0.9992276998326683
9,0.9992280646431242,0.9992278017546743,0.9990608025477892,0.9992276998326683,0.9992276998326683
