epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5968066085359707,0.5661892135165445,0.5017525507769383,0.5485905521946196,0.5485905521946196
1,0.5903390713106261,0.5116414675051691,0.47134312429772507,0.48860857253185735,0.48860857253185735
2,0.5933540168038886,0.544914933275247,0.4900072790336891,0.5232333633672287,0.5232333633672287
3,0.5856053666920489,0.5401901678666852,0.4827612602085727,0.5185995623632386,0.5185995623632386
4,0.6650396526288253,0.597115013843075,0.5572075131522454,0.5774230917750032,0.5774230917750032
5,0.5827683066378555,0.5257848691158814,0.4743262384323255,0.5026386922383833,0.5026386922383833
6,0.5817830087142764,0.560908315029884,0.4876358693998932,0.5465310850817351,0.5465310850817351
7,0.5906072364554329,0.5088884962928187,0.4699828327469363,0.4860342386407517,0.4860342386407517
8,0.5816754073026782,0.48706326425890994,0.4537897313326704,0.46518213412279574,0.46518213412279574
9,0.5835189707852793,0.5883600008227616,0.4930431498882497,0.5937701119835243,0.5937701119835243
