epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7439288894671797,0.7379123879716347,0.6867956741179226,0.7336851589651178,0.7336851589651178
1,0.9007212239758186,0.8970489145103613,0.8768338176864323,0.8954820440211095,0.8954820440211095
2,0.9498314000320195,0.9494877148546312,0.9388061478651744,0.9492856223452182,0.9492856223452182
3,0.9722654104140703,0.9722263682456176,0.9662511131615719,0.9721971939760587,0.9721971939760587
4,0.983407471099262,0.9834010175267817,0.9798152425863234,0.9833955464023684,0.9833955464023684
5,0.9895753639849006,0.9895746360154777,0.9873191606237841,0.989573947741022,0.989573947741022
6,0.9927863013444604,0.9927851594745821,0.9912155630056365,0.9927918651049041,0.9927918651049041
7,0.9969101431279167,0.9969103909289876,0.9962412247669211,0.9969107993306732,0.9969107993306732
8,0.9956219576340177,0.9956224742349082,0.9946736596736596,0.9956236323851203,0.9956236323851203
9,0.9967809571149031,0.9967810176944503,0.9960830549255426,0.9967820826361179,0.9967820826361179
