epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7786412291312238,0.6979908290147299,0.6701422329037392,0.6833569313940018,0.6833569313940018
1,0.8823550317645612,0.8733497984515504,0.8502899474336933,0.8702535718882739,0.8702535718882739
2,0.9165702045171457,0.9128257559829865,0.8957897683892999,0.9114429141459647,0.9114429141459647
3,0.9426905124365211,0.9410283632143749,0.9290664931313026,0.9404041704209036,0.9404041704209036
4,0.959144219793943,0.9585492905548121,0.9498959764006163,0.958295790964088,0.958295790964088
5,0.9738582305515123,0.9736933148106574,0.9680989044628845,0.9736130776161668,0.9736130776161668
6,0.9805116260066021,0.9803662300781979,0.9761908896722991,0.9803063457330415,0.9803063457330415
7,0.9871157733746443,0.9870308712458689,0.9842624797178631,0.9869996138499163,0.9869996138499163
8,0.9909095195899883,0.990874857670858,0.9889167811710318,0.9908611146865749,0.9908611146865749
9,0.9920797355523157,0.9920341427751755,0.9903280151385424,0.9920195649375724,0.9920195649375724
