epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6214073694519613,0.5722145082943907,0.5207755937270766,0.5518084695585017,0.5518084695585017
1,0.817344369388284,0.7964003566604724,0.7636380406731468,0.7891620543184451,0.7891620543184451
2,0.868972598515568,0.858291267606281,0.8329613274183798,0.8545501351525293,0.8545501351525293
3,0.9074114495772564,0.9013537082012575,0.8827455012051701,0.899343544857768,0.899343544857768
4,0.9325537314740251,0.9308309609401167,0.9167897705491435,0.9301068348564809,0.9301068348564809
5,0.9553668301703273,0.9544126308188149,0.9450076208200514,0.9540481400437637,0.9540481400437637
6,0.9684129848128695,0.9680912443899831,0.9613614578344303,0.9679495430557343,0.9679495430557343
7,0.9791777297296623,0.9789692932043221,0.9745153354108578,0.9788904620929334,0.9788904620929334
8,0.9843931688290054,0.9843272707152412,0.9809729934858934,0.9842965632642554,0.9842965632642554
9,0.9881154732028917,0.9880535252156246,0.9854976967973947,0.9880293474063586,0.9880293474063586
