epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6518912049222937,0.582472981918014,0.5420715059146797,0.5621058051229244,0.5621058051229244
1,0.8277566689408026,0.8117081632015054,0.7798410529390671,0.8057665079160767,0.8057665079160767
2,0.8760803164865725,0.868109931867936,0.8437349913341269,0.8651049041060626,0.8651049041060626
3,0.9093765579170249,0.9041189778340687,0.8858187074401889,0.9023040288325396,0.9023040288325396
4,0.9293034782788985,0.9271168834620032,0.9124703833490464,0.9262453340198223,0.9262453340198223
5,0.9459684969259684,0.9451594631552572,0.9337673749303399,0.9447805380357832,0.9447805380357832
6,0.9669999562543299,0.9666795404342744,0.9596493625208952,0.9665336594156262,0.9665336594156262
7,0.9733896576156139,0.9731902138301027,0.9675016514659744,0.9730982108379457,0.9730982108379457
8,0.98254849726881,0.9825151765592793,0.9787562720814664,0.9824945295404814,0.9824945295404814
9,0.9848470462301907,0.984825387829097,0.9815582687751436,0.9848114300424765,0.9848114300424765
