epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7210930762872376,0.5064456850066993,0.30911260921107014,0.42584947602413464,0.42584947602413464
1,0.832090473714443,0.801867869165575,0.5863429427770884,0.7837408701174976,0.7837408701174976
2,0.8902688938103753,0.8794396728302805,0.7405525890076184,0.8732931089234678,0.8732931089234678
3,0.9343523179866717,0.9312954034259814,0.850221225399248,0.9295014290250874,0.9295014290250874
4,0.9616045048462367,0.960335352060251,0.9143883345106957,0.9596697364242617,0.9596697364242617
5,0.9785872810276642,0.9780262656609457,0.9523842901427253,0.9777707208637663,0.9777707208637663
6,0.9894361716555627,0.9892674835542968,0.9769264387268697,0.9892029215624007,0.9892029215624007
7,0.9931157115713816,0.9930427044213217,0.9847822606026181,0.9930136551286123,0.9930136551286123
8,0.9959391924894982,0.9958876311010262,0.9907980445400874,0.9958717053032708,0.9958717053032708
9,0.9977974699046387,0.9977815743579989,0.9952903498025023,0.9977770720863767,0.9977770720863767
