epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7130456257051849,0.6108098493796479,0.33026500774187495,0.5468402667513497,0.5468402667513497
1,0.8086318716021983,0.6675255253789533,0.4555694410401026,0.6074944426802159,0.6074944426802159
2,0.8512869161496183,0.7852429661767963,0.6028615941261811,0.7545252461098761,0.7545252461098761
3,0.8798661128951707,0.8335723955680051,0.6817897701083037,0.8123213718640838,0.8123213718640838
4,0.8975707342761375,0.8677236424283628,0.7462319403907361,0.8551921244839632,0.8551921244839632
5,0.9229486267899264,0.9050755080615938,0.8137756598630959,0.8980628771038425,0.8980628771038425
6,0.940588416206448,0.9298734234223482,0.8600755671066255,0.9260082565893935,0.9260082565893935
7,0.9533440229819294,0.9477498790415316,0.8926938528382821,0.9456970466814861,0.9456970466814861
8,0.9627149991423007,0.9585255170089568,0.9154685281944785,0.9571292473801206,0.9571292473801206
9,0.9686367431337687,0.965964971797193,0.9303216716521437,0.9650682756430613,0.9650682756430613
