epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7159380859201464,0.5240740574164786,0.31361443130583827,0.44522070498570976,0.44522070498570976
1,0.7964579881802201,0.6920425457598416,0.4805964248349581,0.642108605906637,0.642108605906637
2,0.8554124430348626,0.7909688063048498,0.6205463346686447,0.7608764687202286,0.7608764687202286
3,0.8999056310797953,0.8714741743410835,0.7497412385286569,0.8593204191806922,0.8593204191806922
4,0.9315401994153052,0.919933045495141,0.8379944344972863,0.9152111781517942,0.9152111781517942
5,0.9582091407793911,0.953915414914913,0.9049474815864071,0.9523658304223563,0.9523658304223563
6,0.9800580948886648,0.9788079138411985,0.9550762348327465,0.9784058431248015,0.9784058431248015
7,0.9897259935600095,0.9893166211885137,0.9777196714643988,0.9892029215624007,0.9892029215624007
8,0.9941451499878255,0.9940042119336798,0.9874192443953098,0.9939663385201651,0.9939663385201651
9,0.9971890281971658,0.9971513431356402,0.9939663095122957,0.9971419498253413,0.9971419498253413
