epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.7099163352907051,0.42513943654376307,0.26274145501686913,0.34360114322006985,0.34360114322006985
1,0.7721998360506388,0.6162174083619015,0.40780749190233495,0.5503334391870435,0.5503334391870435
2,0.8213799622334421,0.7311972179226144,0.5267743710711351,0.6891076532232455,0.6891076532232455
3,0.8600310930700305,0.803009296207381,0.6273401999387752,0.775801841854557,0.775801841854557
4,0.8852042593649173,0.8473361177743249,0.7060992448045531,0.8304223563035884,0.8304223563035884
5,0.9170263619087495,0.8999027856344695,0.7983928008952065,0.8926643378850428,0.8926643378850428
6,0.9391867027554367,0.9289769320402292,0.8543015853494412,0.9250555731978406,0.9250555731978406
7,0.958614101188122,0.9545560014218302,0.9036656854599491,0.9530009526833916,0.9530009526833916
8,0.9704944485356601,0.9683625508008078,0.9337228408788665,0.9676087646872022,0.9676087646872022
9,0.9774624979937734,0.9762677196319544,0.9496959030784075,0.9758653540806606,0.9758653540806606
