epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6893475664226977,0.3741867889360089,0.2331317380516759,0.2975547792950143,0.2975547792950143
1,0.7453920724717084,0.5752535487395077,0.3681239756286929,0.5049221975230231,0.5049221975230231
2,0.7934193778238118,0.6595799002594117,0.46504527048465166,0.6040012702445221,0.6040012702445221
3,0.8411173558635443,0.7751034098370795,0.5913433502029045,0.7437281676722769,0.7437281676722769
4,0.871981484840423,0.8280265969401936,0.677498747177873,0.8085106382978723,0.8085106382978723
5,0.9034892115370496,0.8768334224929124,0.762211570261106,0.8656716417910447,0.8656716417910447
6,0.9303229956064286,0.9186900182950816,0.8382207648264632,0.9139409336297237,0.9139409336297237
7,0.9537052151995948,0.9493543883806673,0.8947661839836832,0.947602413464592,0.947602413464592
8,0.9655052392465424,0.963625474938188,0.923772800683173,0.9628453477294379,0.9628453477294379
9,0.9742659277399585,0.9731474509098428,0.9429705541346648,0.9726897427754843,0.9726897427754843
