epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.6775,0.6862789384528515,0.5765104460756634,0.7,0.7
1,0.5946666666666667,0.6244986449864498,0.4579945799457995,0.68,0.68
2,0.7018181818181819,0.7033398310591292,0.5776478232618583,0.74,0.74
3,0.6,0.6,0.4802494802494802,0.6,0.6
4,0.6843589743589744,0.6057657657657657,0.5495495495495495,0.58,0.58
5,0.76,0.76,0.6881496881496881,0.76,0.76
6,0.7857936507936509,0.7825672247590056,0.7209538305428718,0.78,0.78
7,0.7466666666666667,0.7430339928970067,0.6702181633688484,0.74,0.74
8,0.772952380952381,0.7652380952380953,0.7023809523809524,0.76,0.76
9,0.5993582887700535,0.5767619047619047,0.47619047619047616,0.56,0.56
0,0.5563621262458471,0.5864672495781562,0.4324282865470164,0.63,0.63
1,0.5644854070660522,0.6051594613749114,0.4330262225372077,0.68,0.68
2,0.6396843853820597,0.6535266145114281,0.5244669427826354,0.69,0.69
3,0.6314666666666667,0.6355093555093556,0.5322245322245323,0.64,0.64
4,0.7209210526315789,0.7247769443347809,0.6446900908014213,0.73,0.73
5,0.6661434511434511,0.668009241432422,0.5764343473238352,0.67,0.67
6,0.6951098644226273,0.6865274405050996,0.6114618746964546,0.68,0.68
7,0.7204285714285714,0.7145896209054103,0.6442154336891179,0.71,0.71
8,0.6575297113752123,0.6271111111111111,0.5555555555555556,0.61,0.61
9,0.7041666666666667,0.6668499607227022,0.6072270227808327,0.65,0.65
0,0.5601337598138995,0.5960703034322665,0.43624606201293314,0.66,0.66
1,0.6549923515505491,0.6614883537307541,0.5657323332017371,0.67,0.67
2,0.6736511792691567,0.6206597222222222,0.5659722222222222,0.6,0.6
3,0.7607789855072462,0.6535282545106261,0.6220651808133364,0.635,0.635
4,0.74625,0.6639302172481897,0.6260697827518105,0.645,0.645
5,0.7891082093329284,0.7344618055555556,0.6961805555555556,0.72,0.72
6,0.8275938860208523,0.7723958333333334,0.7395833333333334,0.76,0.76
7,0.8571875,0.82340321453529,0.793151642208246,0.815,0.815
8,0.8429671351798264,0.8046779162387944,0.7724181954428131,0.795,0.795
9,0.8584363380564767,0.7916559416559417,0.7640497640497641,0.78,0.78
0,0.5875101369219017,0.5887369512212927,0.5011655692309189,0.59,0.59
1,0.6304128342245989,0.6199271596713302,0.5512251091864683,0.612,0.612
2,0.8252220455749867,0.7961072527472529,0.7670329670329672,0.788,0.788
3,0.9189460960113597,0.9153078086727644,0.8993063849118813,0.914,0.914
4,0.9499077221952403,0.9499493502779676,0.9394142080952311,0.95,0.95
5,0.9638901373283395,0.9639265662943176,0.9562894609033512,0.964,0.964
6,0.9759534188370447,0.9759007490636704,0.9707397003745318,0.976,0.976
7,0.9820531421007922,0.981906319179401,0.9780091970424813,0.982,0.982
8,0.9839728464419476,0.9839673627974747,0.9805730937348228,0.984,0.984
9,0.9860001175295293,0.9859568715051173,0.982966629193251,0.986,0.986
0,0.624695402730029,0.6036759003257903,0.5174782072730475,0.589,0.589
1,0.819362735042735,0.8084775544105538,0.7638883395597297,0.803,0.803
2,0.9304187211379982,0.9295225627950826,0.9108710907244424,0.929,0.929
3,0.9623495204198588,0.9621321428029096,0.9519130993779075,0.962,0.962
4,0.9790958042913762,0.9790368809834928,0.9733326222032588,0.979,0.979
5,0.9879828722002635,0.9879712359918872,0.9846346110507878,0.988,0.988
6,0.99,0.99,0.9872563412445967,0.99,0.99
7,0.9929942210708645,0.9929958470224235,0.9910688654269402,0.993,0.993
8,0.9970060669551817,0.9970017680055903,0.9961814134116398,0.997,0.997
9,0.9969989831946084,0.9969982201524673,0.9961723708972601,0.997,0.997
