epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.5565476190476191,0.4373626373626373,0.4505494505494505,0.5,0.5
1,0.5328947368421053,0.46532156368221933,0.47456914670029415,0.5,0.5
2,0.495,0.4957160342717259,0.4900040799673603,0.5,0.5
3,0.5672141706924316,0.56,0.5599999999999999,0.56,0.56
4,0.5232,0.5207692307692308,0.5192307692307692,0.52,0.52
5,0.6993506493506493,0.6993939393939393,0.696969696969697,0.7,0.7
6,0.6077294685990339,0.6,0.6,0.6,0.6
7,0.7385221674876847,0.7186538461538461,0.7195512820512822,0.72,0.72
8,0.72,0.72,0.7181964573268921,0.72,0.72
9,0.6613461538461539,0.6604094741067844,0.6587715776796468,0.66,0.66
0,0.47809523809523813,0.3923516483516483,0.40659340659340654,0.46,0.46
1,0.628,0.5426048749869233,0.5501621508525997,0.57,0.57
2,0.4780334557323541,0.4682494244820338,0.46952257031328193,0.47,0.47
3,0.5016025641025641,0.5006021678040947,0.4981934965877157,0.5,0.5
4,0.6482447665056361,0.6399999999999999,0.6399999999999999,0.64,0.64
5,0.6770533922119631,0.6702310231023102,0.66996699669967,0.67,0.67
6,0.6515259740259741,0.639279711884754,0.6398559423769508,0.64,0.64
7,0.6516267339218159,0.6260958697618328,0.6281780725555219,0.63,0.63
8,0.6522208883553422,0.6505263157894737,0.6491228070175439,0.65,0.65
9,0.6385550082101807,0.6382467532467533,0.6347402597402598,0.64,0.64
0,0.4899382157926462,0.41828585866645385,0.43083592648740654,0.465,0.465
1,0.4622698135198135,0.4518756114605172,0.43535988819007687,0.495,0.495
2,0.5667368421052632,0.5606162464985993,0.5598239295718287,0.56,0.56
3,0.5443318318318319,0.5178829543451436,0.5215431492533555,0.525,0.525
4,0.6838783525979127,0.671563971126687,0.6652369494717021,0.68,0.68
5,0.7155052334943639,0.7051253781344533,0.7049926248156204,0.705,0.705
6,0.6868830128205129,0.6855140468479326,0.6836634781953754,0.685,0.685
7,0.7643783422459893,0.748970745583131,0.7442521986481903,0.755,0.755
8,0.7798316173316173,0.7715473887814314,0.7678916827852997,0.775,0.775
9,0.7529866666666666,0.7464988157759241,0.7425599835238389,0.75,0.75
0,0.5183725478575238,0.4758338723855965,0.48168051616327473,0.5,0.5
1,0.5841462839431305,0.5810801807649444,0.5774803130319768,0.586,0.586
2,0.6087853735049997,0.6083116746631958,0.6058997813249043,0.61,0.61
3,0.7754203612479474,0.7727417754833485,0.7712319060633668,0.774,0.774
4,0.8341680030790942,0.8340539412928099,0.8335145283647114,0.834,0.834
5,0.9335832573321173,0.9320609904542251,0.9319302966237427,0.932,0.932
6,0.956,0.956,0.955841027699719,0.956,0.956
7,0.9704193093727976,0.9700193609678078,0.9699363853914884,0.97,0.97
8,0.9860802488934505,0.9860045492656586,0.985959056609072,0.986,0.986
9,0.9920354237859171,0.9920017976373908,0.9919748330765279,0.992,0.992
0,0.4847981640146879,0.48054610027980904,0.48131479175842307,0.483,0.483
1,0.6280407557257713,0.6280178662909837,0.6277856045081966,0.628,0.628
2,0.8328352146095334,0.8320147842365477,0.8319973119569912,0.832,0.832
3,0.9166178217821782,0.9160120967741936,0.915994623655914,0.916,0.916
4,0.9572457879326068,0.9570070965967343,0.9569903228226351,0.957,0.957
5,0.9730212484993996,0.9730018639860486,0.9729857094402939,0.973,0.973
6,0.983052733499776,0.9830017857875323,0.9829924996923644,0.983,0.983
7,0.9880287692572612,0.9879985587028325,0.9879891902712441,0.988,0.988
8,0.994032874651387,0.9940005282556758,0.9939970945937834,0.994,0.994
9,0.9970174418604651,0.9969997387803142,0.996997474876371,0.997,0.997
