epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.594297039393198,0.6013645577395578,0.5345132063882063,0.612,0.612
1,0.5715233899727292,0.5403887764590056,0.5014283971238519,0.526,0.526
2,0.8146574367474284,0.7882699299098113,0.7689101463286394,0.782,0.782
3,0.9081627468769629,0.9050951871657754,0.893048128342246,0.904,0.904
4,0.9561736353077818,0.9560696874260436,0.9499371939342084,0.956,0.956
5,0.9660353436185133,0.9657988370105907,0.9607410247054422,0.966,0.966
6,0.9779722237591989,0.9779457971453348,0.9747658963383021,0.978,0.978
7,0.9839838235294119,0.9839739093790651,0.9816779347368034,0.984,0.984
8,0.9940527859237536,0.9939852174032732,0.9931179717286279,0.994,0.994
9,0.9960235294117646,0.9959934773447663,0.9954194836842009,0.996,0.996
